"","accuracy_delta","accuracy_derived","accuracy_original","feature","class","general.attrtoinst","general.cattonum","general.freqclass.mean","general.freqclass.sd","general.insttoattr","general.nrattr","general.nrbin","general.nrcat","general.nrclass","general.nrinst","general.nrnum","general.numtocat","statistical.cancor.mean","statistical.cancor.sd","statistical.gravity","statistical.cor.mean","statistical.cor.sd","statistical.cov.mean","statistical.cov.sd","statistical.nrdisc","statistical.eigenvalues.mean","statistical.eigenvalues.sd","statistical.gmean.mean","statistical.gmean.sd","statistical.hmean.mean","statistical.hmean.sd","statistical.iqrange.mean","statistical.iqrange.sd","statistical.kurtosis.mean","statistical.kurtosis.sd","statistical.mad.mean","statistical.mad.sd","statistical.max.mean","statistical.max.sd","statistical.mean.mean","statistical.mean.sd","statistical.median.mean","statistical.median.sd","statistical.min.mean","statistical.min.sd","statistical.nrcorattr","statistical.nrnorm","statistical.nroutliers","statistical.range.mean","statistical.range.sd","statistical.sd.mean","statistical.sd.sd","statistical.sdratio","statistical.skewness.mean","statistical.skewness.sd","statistical.sparsity.mean","statistical.sparsity.sd","statistical.tmean.mean","statistical.tmean.sd","statistical.var.mean","statistical.var.sd","statistical.wlambda","model.based.leaves","model.based.leavesbranch.mean","model.based.leavesbranch.sd","model.based.leavescorrob.mean","model.based.leavescorrob.sd","model.based.leaveshomo.mean","model.based.leaveshomo.sd","model.based.leavesperclass.mean","model.based.leavesperclass.sd","model.based.nodes","model.based.nodesperattr","model.based.nodesperinst","model.based.nodesperlevel.mean","model.based.nodesperlevel.sd","model.based.nodesrepeated.mean","model.based.nodesrepeated.sd","model.based.treedepth.mean","model.based.treedepth.sd","model.based.treeimbalance.mean","model.based.treeimbalance.sd","model.based.treeshape.mean","model.based.treeshape.sd","model.based.varimportance.mean","model.based.varimportance.sd"
"Na_sum_Ba",-0.869565217391298,74.9832800050191,75.8528452224104,"Na_sum_Ba",0,0.327102803738318,0.0144927536231884,0.166666666666667,0.13898760091093,3.05714285714286,70,0,1,6,214,69,69,1,6.95552731308039e-16,15.2116591486371,0.252241260213068,0.228689265709183,0.736935554042783,3.67310186741404,5,13.0609586399975,58.2316971019062,NA,NA,9.92922637536769,29.5127184073672,1.13458155407923,1.56530177518791,16.0527368099801,30.3113620625852,0.49183919208495,0.48193658189839,23.4201087645782,41.6980416396288,10.7143198721351,29.3269314632356,10.4522719871909,29.405990738389,7.5527186717483,28.7951729740235,0.156756756756757,0,71,15.86739009283,31.9109493084221,1.87534434536878,3.11014722640092,NA,1.73017420552518,3.07534935238817,0.00956816819389612,0.0229732459282146,10.4678134257253,29.3874225935458,13.0609586399975,48.359992109749,NA,36,6.61111111111111,2.2203960750638,0.0277777777777778,0.0431028958593772,1165.43665223665,1680.04165379086,0.166666666666667,0.120441574381549,35,0.5,0.163551401869159,3.18181818181818,1.99088833530069,1.52173913043478,1.27456107301838,5.71830985915493,2.47376577359614,0.0865494067808268,0.0914504806225048,0.110595703125,0.113393793434766,0.0178571428571429,0.0148648834517659
"Na_sum_Mg",-0.891210239036326,74.9616349833741,75.8528452224104,"Na_sum_Mg",0,0.327102803738318,0.0144927536231884,0.166666666666667,0.13898760091093,3.05714285714286,70,0,1,6,214,69,69,1,6.95552731308039e-16,15.2830878694553,0.251648482506323,0.227655371832492,0.725107289833188,3.66714049370597,5,13.0486486756256,58.1948252409557,NA,NA,9.89672388041135,29.507350281104,1.12971488741256,1.56525339935061,16.0555796583315,30.3100187308023,0.49075195208495,0.48147490601665,23.4059754312449,41.6999011140482,10.680860059051,29.322143757048,10.4094053205243,29.3993685522842,7.55658533841496,28.7956248578336,0.155315315315315,0,71,15.84939009283,31.915941729554,1.87049018993728,3.11110398927265,NA,1.7648405062581,3.05443982331075,0.00957610127994073,0.0229705447890801,10.4270965026484,29.3811874515331,13.0486486756256,48.3629366708684,NA,36,6.61111111111111,2.2203960750638,0.0277777777777778,0.0431028958593772,1165.43665223665,1680.04165379086,0.166666666666667,0.120441574381549,35,0.5,0.163551401869159,3.18181818181818,1.99088833530069,1.52173913043478,1.27456107301838,5.71830985915493,2.47376577359614,0.0865494067808268,0.0914504806225048,0.110595703125,0.113393793434766,0.0178571428571429,0.0150251364718615
"Si_diff_K",-0.934782608695642,74.9180626137148,75.8528452224104,"Si_diff_K",0,0.327102803738318,0.0144927536231884,0.166666666666667,0.13898760091093,3.05714285714286,70,0,1,6,214,69,69,1,6.95552731308039e-16,15.2421350562137,0.254748181374061,0.229005146401044,0.740737168126739,3.67305822293401,5,13.060407862088,58.2352218765779,NA,NA,9.14745290399497,28.6052552359439,1.13721488741256,1.56484194375369,15.7855068317904,30.3459128827682,0.49272875208495,0.482173550055297,22.6475754312449,41.2561983040521,9.93337345468961,28.4350297483755,9.66600532052427,28.5051990918054,6.8427186717483,28.0239645388748,0.158198198198198,0,71,15.8048567594966,31.9249306300594,1.87509293565468,3.11021111618529,NA,1.79219129977358,3.01626003054871,0.00956749944059415,0.0229734645997831,9.6827765026484,28.4876703398338,13.0604078620881,48.3601290184239,NA,36,6.61111111111111,2.2203960750638,0.0277777777777778,0.0431028958593772,1165.43665223665,1680.04165379086,0.166666666666667,0.120441574381549,35,0.5,0.163551401869159,3.18181818181818,1.99088833530069,1.52173913043478,1.27456107301838,5.71830985915493,2.47376577359614,0.0865494067808268,0.0914504806225048,0.110595703125,0.113393793434766,0.0175438596491228,0.0149716944149213
"Na_diff_Ca",-0.934782608695642,74.9180626137148,75.8528452224104,"Na_diff_Ca",0,0.327102803738318,0.0144927536231884,0.166666666666667,0.13898760091093,3.05714285714286,70,0,1,6,214,69,69,1,6.95552731308039e-16,15.2325785473279,0.252275954904295,0.227114816730854,0.730135646380332,3.67199214565393,5,13.0322502501652,58.2254170305305,NA,NA,10.0565634708578,29.5071860997237,1.13238155407923,1.56542424877766,15.9859658298657,30.3369958647305,0.48976355208495,0.480890538901399,23.5099754312449,41.6775805471349,10.8360799967457,29.3195317037535,10.5668053205243,29.4000706660732,7.75218533841496,28.7662862084361,0.154954954954955,0,71,15.75779009283,31.9292281857338,1.86548380829935,3.11147946654773,NA,1.77024133843692,3.04843663506534,0.00957496577492753,0.0229709435386206,10.5838267590587,29.3813562984723,13.0322502501652,48.3664840516649,NA,36,6.61111111111111,2.2203960750638,0.0277777777777778,0.0431028958593772,1165.43665223665,1680.04165379086,0.166666666666667,0.120441574381549,35,0.5,0.163551401869159,3.18181818181818,1.99088833530069,1.52173913043478,1.27456107301838,5.71830985915493,2.47376577359614,0.0865494067808268,0.0914504806225048,0.110595703125,0.113393793434766,0.0178571428571429,0.0149343136166062
"Al_mult_Fe",-1.26293995859213,74.5899052638183,75.8528452224104,"Al_mult_Fe",0,0.327102803738318,0.0144927536231884,0.166666666666667,0.13898760091093,3.05714285714286,70,0,1,6,214,69,69,1,5.74211813252823e-16,15.2835326932372,0.257258639666334,0.22918862455605,0.748046355663283,3.67222784381516,5,13.0763980887207,58.2348388827617,NA,NA,10.1092668623852,29.4925075290451,1.14559122074589,1.5611048829749,15.9235184627902,30.3507123553143,0.50053711208495,0.478816591169925,23.6382860979116,41.6224535864881,10.8943748939419,29.3021956585637,10.6296719871909,29.3822058021244,7.69965200508163,28.7842266968956,0.161081081081081,0,71,15.93863409283,31.8835023281899,1.88787632113044,3.1049743902906,NA,1.70969497942066,3.07351615201959,0.00946076641359983,0.0229903876435413,10.6456061334176,29.3637223655563,13.0763980887207,48.3559574880108,NA,36,6.61111111111111,2.2203960750638,0.0277777777777778,0.0431028958593772,1165.43665223665,1680.04165379086,0.166666666666667,0.120441574381549,35,0.5,0.163551401869159,3.18181818181818,1.99088833530069,1.52173913043478,1.27456107301838,5.71830985915493,2.47376577359614,0.0865494067808268,0.0914504806225048,0.110595703125,0.113393793434766,0.0178571428571429,0.0149967552043406
"K_mult_Fe",-1.26293995859214,74.5899052638183,75.8528452224104,"K_mult_Fe",0,0.327102803738318,0.0144927536231884,0.166666666666667,0.13898760091093,3.05714285714286,70,0,1,6,214,69,69,0.999999999999999,6.00444906373008e-16,15.2838836766737,0.257130424645202,0.229222257875817,0.748553308053857,3.67215081089407,5,13.0766385429924,58.2349085887603,NA,NA,10.1092668623852,29.4925075290451,1.14702922074589,1.56011406633541,15.9616409755546,30.34351655725,0.50053711208495,0.478816591169925,23.6478740979116,41.6171077450591,10.8950538534435,29.3019410572166,10.6296719871909,29.3822058021244,7.69965200508163,28.7842266968956,0.161081081081081,0,71,15.94822209283,31.8788704158947,1.889058051807,3.10428510831043,NA,1.71075715099565,3.07386967803843,0.00944154393587634,0.0229896415487037,10.6458826359817,29.3636209131908,13.0766385429924,48.3558916471807,NA,38,6.78947368421053,2.32678753994548,0.0263157894736842,0.0429436943934638,1605.43896103896,2997.16033532827,0.166666666666667,0.129634759311657,37,0.528571428571429,0.172897196261682,3.08333333333333,2.06522432562458,1.60869565217391,1.46904825203205,5.89333333333333,2.57100954686872,0.0788119337562156,0.089494959778386,0.105147512335526,0.11249858616555,0.0175438596491228,0.0153443916059929
"Na_sum_Si",-1.30434782608695,74.5484973963235,75.8528452224104,"Na_sum_Si",0,0.327102803738318,0.0144927536231884,0.166666666666667,0.13898760091093,3.05714285714286,70,0,1,6,214,69,69,1,6.95552731308039e-16,15.1328741945892,0.252817527829343,0.229114333653575,0.738024893210701,3.6730655832946,5,13.0609697773763,58.2325579040413,NA,NA,8.96199692399944,28.1412939217834,1.13764822074589,1.56473355412466,15.9524500786859,30.3455890189944,0.493321792084951,0.48226125282741,22.4158420979116,40.9041983383287,9.74797470079553,27.9735644630363,9.48380532052427,28.0511371732939,6.62578533841496,27.5039125981951,0.156036036036036,0,71,15.7900567594966,31.926858120349,1.87534947421387,3.11014590672043,NA,1.7376451735698,3.07340224890532,0.00956543706153003,0.0229741301216735,9.49994265649455,28.031926776097,13.0609697773763,48.3599893363061,NA,36,6.61111111111111,2.2203960750638,0.0277777777777778,0.0431028958593772,1165.43665223665,1680.04165379086,0.166666666666667,0.120441574381549,35,0.5,0.163551401869159,3.18181818181818,1.99088833530069,1.52173913043478,1.47307857031059,5.71830985915493,2.47376577359614,0.0865494067808268,0.0914504806225048,0.110595703125,0.113393793434766,0.0178571428571429,0.0152187030029821
"Na_sum_Ca",-1.30434782608695,74.5484973963235,75.8528452224104,"Na_sum_Ca",0,0.327102803738318,0.0144927536231884,0.166666666666667,0.13898760091093,3.05714285714286,70,0,1,6,214,69,69,1,6.95552731308039e-16,15.1754402429009,0.251572530083691,0.227514689561041,0.728501120108793,3.67174548574598,5,13.0493225749718,58.2196396829448,NA,NA,9.81221291611252,29.4804717086993,1.12241488741256,1.5629938437349,16.0570677405134,30.3093073539787,0.48640299208495,0.477721562109124,23.2731754312449,41.6993510317597,10.5972276602971,29.2973031042469,10.3385386538576,29.3778531613638,7.4447186717483,28.7663777678164,0.154594594594595,0,71,15.8284567594966,31.9207634322855,1.87072398050779,3.11107128780895,NA,1.73118616897421,3.07516754564386,0.00957665845320808,0.0229703476481554,10.3510698359817,29.3579003584581,13.0493225749718,48.3627817223953,NA,36,6.61111111111111,2.2203960750638,0.0277777777777778,0.0431028958593772,1165.43665223665,1680.04165379086,0.166666666666667,0.120441574381549,35,0.5,0.163551401869159,3.18181818181818,1.99088833530069,1.52173913043478,1.27456107301838,5.71830985915493,2.47376577359614,0.0865494067808268,0.0914504806225048,0.110595703125,0.113393793434766,0.0178571428571429,0.0151695128581457
"Na_diff_Al",-1.30839450404669,74.5444507183637,75.8528452224104,"Na_diff_Al",0,0.327102803738318,0.0144927536231884,0.166666666666667,0.13898760091093,3.05714285714286,70,0,1,6,214,69,69,1,6.95552731308039e-16,15.202424181724,0.254179137472548,0.229401185054492,0.740045968096807,3.67193152160987,5,13.0661723713534,58.2280254738508,NA,NA,9.95062253095842,29.514746880288,1.13501488741256,1.56524957328599,16.0072288125408,30.3300639636337,0.49174035208495,0.481902437338816,23.4258420979116,41.6971820954796,10.7359192490821,29.3284600164973,10.4709386538576,29.4073697009189,7.58458533841496,28.7977036321983,0.159279279279279,0,71,15.8412567594966,31.9179408361795,1.87798582564178,3.10938122973033,NA,1.73751632999308,3.07344769312429,0.0095668214631087,0.0229736848540468,10.4868975282894,29.3888490152938,13.0661723713534,48.3586721603175,NA,36,6.61111111111111,2.2203960750638,0.0277777777777778,0.0431028958593772,1165.43665223665,1680.04165379086,0.166666666666667,0.120441574381549,35,0.5,0.163551401869159,3.18181818181818,1.99088833530069,1.52173913043478,1.27456107301838,5.71830985915493,2.47376577359614,0.0865494067808268,0.0914504806225048,0.110595703125,0.113393793434766,0.0178571428571429,0.015213697869025
"Al_diff_Ba",-1.32815734989646,74.524687872514,75.8528452224104,"Al_diff_Ba",0,0.327102803738318,0.0144927536231884,0.166666666666667,0.13898760091093,3.05714285714286,70,0,1,6,214,69,69,1,6.95552731308039e-16,15.2839396216982,0.255982182794174,0.23018201282391,0.745107311229759,3.67248661486309,5,13.0732361553617,58.2339482087032,NA,NA,10.0942851590882,29.497418750627,1.14174822074589,1.56324980022175,16.023414931431,30.3240162501166,0.49579279208495,0.482021946950927,23.6125087645783,41.63597922665,10.8784937039108,29.3078046752192,10.6123386538576,29.3881668434383,7.71378533841496,28.7801274437594,0.16036036036036,0,71,15.8987234261633,31.9003907626276,1.88304495098327,3.10743080655143,NA,1.75738960236775,3.06149803134997,0.00954417241863732,0.022980213637457,10.628360092392,29.3696531922158,13.0732361553617,48.3568147073011,NA,36,6.61111111111111,2.2203960750638,0.0277777777777778,0.0431028958593772,1165.43665223665,1680.04165379086,0.166666666666667,0.120441574381549,35,0.5,0.163551401869159,3.18181818181818,1.99088833530069,1.52173913043478,1.27456107301838,5.71830985915493,2.47376577359614,0.0865494067808268,0.0914504806225048,0.110595703125,0.113393793434766,0.0178571428571429,0.0150134963208517
